Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,brand,name,defaultimage,baseprice,jewelrytype,material
summer-beach-jewelry-chunky-beaded-necklace-for-women-trendy-statement-big-colorful-resin-bead-choker-necklaces-boho-charm-jewelry,Summer Beach Jewelry Chunky Beaded Necklace for Women Trendy Statement Big Colorful Resin Bead Choker Necklaces Boho Charm Jewelry,<p><strong>Innerdiva Summer Beach Jewelry Chunky Beaded Necklace for Women Trendy Statement Big Colorful Resin Bead Choker Necklaces Boho Charm Jewelry</strong>. Type: Necklace. Material: Resin.</p>,Innerdiva,necklace,"necklace, resin, innerdiva, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,INNERDIV-SUMMERBEAC-NA-OS,30,shopify,100,deny,manual,351670,422004,TRUE,TRUE,https://m.media-amazon.com/images/I/61qpZG1uYHL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,Summer Beach Jewelry Chunky Beaded Necklace for Women Trendy Statement Big Colorful Resin Bead Choker Necklaces Boho Charm Jewelry,FALSE,Summer Beach Jewelry Chunky Beaded Necklace for Women Trendy Statement Big Colorful Resin Bead Choker Necklaces Boho Charm Jewelry | Innerdiva,Shop Summer Beach Jewelry Chunky Beaded Necklace for Women Trendy Statement Big Colorful Resin Bead Choker Necklaces Boho Charm Jewelry by Innerdiva. Necklace in Resin.,active,Innerdiva,Summer Beach Jewelry Chunky Beaded Necklace for Women Trendy Statement Big Colorful Resin Bead Choker Necklaces Boho Charm Jewelry,https://m.media-amazon.com/images/I/61qpZG1uYHL._AC_SY300_SX300_QL70_FMwebp_.jpg,351670,necklace,resin
chunky-gold-necklace-for-women-trendy-non-tarnish-14k-gold-plated-paperclip-chain-charm-necklaces-chunky-heart-cross-clover-pearl-pendant-necklace-with-toggle-clasp-statement-jewelry-gift-for-women,Chunky Gold Necklace for Women Trendy Non Tarnish 14K Gold Plated Paperclip Chain Charm Necklaces Chunky Heart Cross Clover Pearl Pendant Necklace with Toggle Clasp Statement Jewelry Gift for Women,<p><strong>Kaerun Chunky Gold Necklace for Women Trendy Non Tarnish 14K Gold Plated Paperclip Chain Charm Necklaces Chunky Heart Cross Clover Pearl Pendant Necklace with Toggle Clasp Statement Jewelry Gift for Women</strong>. Type: Pendant. Material: Gold 14K.</p>,Kaerun,pendant,"pendant, gold_14k, kaerun, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,KAERUN-CHUNKYGOLD-NA-OS,30,shopify,100,deny,manual,298770,358524,TRUE,TRUE,https://m.media-amazon.com/images/I/61mWlwyNiwL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,Chunky Gold Necklace for Women Trendy Non Tarnish 14K Gold Plated Paperclip Chain Charm Necklaces Chunky Heart Cross Clover Pearl Pendant Necklace with Toggle Clasp Statement Jewelry Gift for Women,FALSE,Chunky Gold Necklace for Women Trendy Non Tarnish 14K Gold Plated Paperclip Chain Charm Necklaces Chunky Heart Cross Clover Pearl Pendant Necklace with Toggle Clasp Statement Jewelry Gift for Women | Kaerun,Shop Chunky Gold Necklace for Women Trendy Non Tarnish 14K Gold Plated Paperclip Chain Charm Necklaces Chunky Heart Cross Clover Pearl Pendant Necklace with Toggle Clasp Statement Jewelry Gift for Women by Kaerun. Pendant in Gold 14K.,active,Kaerun,Chunky Gold Necklace for Women Trendy Non Tarnish 14K Gold Plated Paperclip Chain Charm Necklaces Chunky Heart Cross Clover Pearl Pendant Necklace with Toggle Clasp Statement Jewelry Gift for Women,https://m.media-amazon.com/images/I/61mWlwyNiwL._AC_SY300_SX300_QL70_FMwebp_.jpg,298770,pendant,gold_14k
necocy-14k-gold-plated-necklaces-for-women-dainty-gold-herringbone-choker-necklace-thin-layered-snake-chain-jewelry-for-gifts,"NECOCY 14K Gold Plated Necklaces for Women, Dainty Gold Herringbone Choker Necklace Thin Layered Snake Chain Jewelry for Gifts","<p><strong>Necocy NECOCY 14K Gold Plated Necklaces for Women, Dainty Gold Herringbone Choker Necklace Thin Layered Snake Chain Jewelry for Gifts</strong>. Type: Ring. Material: Gold 14K.</p>",Necocy,ring,"ring, gold_14k, necocy, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,NECOCY-NECOCY14KG-NA-OS,30,shopify,100,deny,manual,114770,137724,TRUE,TRUE,https://m.media-amazon.com/images/I/61A7d4Z59vL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"NECOCY 14K Gold Plated Necklaces for Women, Dainty Gold Herringbone Choker Necklace Thin Layered Snake Chain Jewelry for Gifts",FALSE,"NECOCY 14K Gold Plated Necklaces for Women, Dainty Gold Herringbone Choker Necklace Thin Layered Snake Chain Jewelry for Gifts | Necocy","Shop NECOCY 14K Gold Plated Necklaces for Women, Dainty Gold Herringbone Choker Necklace Thin Layered Snake Chain Jewelry for Gifts by Necocy. Ring in Gold 14K.",active,Necocy,"NECOCY 14K Gold Plated Necklaces for Women, Dainty Gold Herringbone Choker Necklace Thin Layered Snake Chain Jewelry for Gifts",https://m.media-amazon.com/images/I/61A7d4Z59vL._AC_SY300_SX300_QL70_FMwebp_.jpg,114770,ring,gold_14k
amoraime-925-sterling-silver-cross-necklace-for-women-men-14k-gold-plated-5a-cz-birthstone-necklaces-for-holiday,AmorAime 925 Sterling Silver Cross Necklace for Women Men 14K Gold Plated 5A CZ Birthstone Necklaces for Holiday,<p><strong>Amoraime AmorAime 925 Sterling Silver Cross Necklace for Women Men 14K Gold Plated 5A CZ Birthstone Necklaces for Holiday</strong>. Type: Pendant. Material: Gold 14K.</p>,Amoraime,pendant,"pendant, gold_14k, amoraime, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,AMORAIME-AMORAIME92-NA-OS,30,shopify,100,deny,manual,803850,964620,TRUE,TRUE,https://m.media-amazon.com/images/I/61XZ0ZFYIFL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,AmorAime 925 Sterling Silver Cross Necklace for Women Men 14K Gold Plated 5A CZ Birthstone Necklaces for Holiday,FALSE,AmorAime 925 Sterling Silver Cross Necklace for Women Men 14K Gold Plated 5A CZ Birthstone Necklaces for Holiday | Amoraime,Shop AmorAime 925 Sterling Silver Cross Necklace for Women Men 14K Gold Plated 5A CZ Birthstone Necklaces for Holiday by Amoraime. Pendant in Gold 14K.,active,Amoraime,AmorAime 925 Sterling Silver Cross Necklace for Women Men 14K Gold Plated 5A CZ Birthstone Necklaces for Holiday,https://m.media-amazon.com/images/I/61XZ0ZFYIFL._AC_SY300_SX300_QL70_FMwebp_.jpg,803850,pendant,gold_14k
mothers-day-gifts-initial-layered-necklaces-for-women-14k-gold-plated-coin-letter-necklace-bar-stacking-layer-necklace-multi-bar-layering-y-necklaces-jewelry-for-women,"Mothers Day Gifts, Initial Layered Necklaces for Women, 14K-Gold-Plated Coin Letter Necklace Bar Stacking Layer Necklace Multi Bar Layering Y-Necklaces Jewelry for Women","<p><strong>Vjoypro Mothers Day Gifts, Initial Layered Necklaces for Women, 14K-Gold-Plated Coin Letter Necklace Bar Stacking Layer Necklace Multi Bar Layering Y-Necklaces Jewelry for Women</strong>. Type: Ring. Material: Gold.</p>",Vjoypro,ring,"ring, gold, vjoypro, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,VJOYPRO-MOTHERSDAY-NA-OS,30,shopify,100,deny,manual,390770,468924,TRUE,TRUE,https://m.media-amazon.com/images/I/61haY7k0H7L._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"Mothers Day Gifts, Initial Layered Necklaces for Women, 14K-Gold-Plated Coin Letter Necklace Bar Stacking Layer Necklace Multi Bar Layering Y-Necklaces Jewelry for Women",FALSE,"Mothers Day Gifts, Initial Layered Necklaces for Women, 14K-Gold-Plated Coin Letter Necklace Bar Stacking Layer Necklace Multi Bar Layering Y-Necklaces Jewelry for Women | Vjoypro","Shop Mothers Day Gifts, Initial Layered Necklaces for Women, 14K-Gold-Plated Coin Letter Necklace Bar Stacking Layer Necklace Multi Bar Layering Y-Necklaces Jewelry for Women by Vjoypro. Ring in Gold.",active,Vjoypro,"Mothers Day Gifts, Initial Layered Necklaces for Women, 14K-Gold-Plated Coin Letter Necklace Bar Stacking Layer Necklace Multi Bar Layering Y-Necklaces Jewelry for Women",https://m.media-amazon.com/images/I/61haY7k0H7L._AC_SY300_SX300_QL70_FMwebp_.jpg,390770,ring,gold
colorful-beaded-necklace-for-women-unique-resin-beads-choker-necklaces-boho-statement-chunky-necklace-summer-vacation-jewelry,Colorful Beaded Necklace for Women Unique Resin Beads Choker Necklaces Boho Statement Chunky Necklace Summer Vacation Jewelry,<p><strong>Zhuozatrfa Colorful Beaded Necklace for Women Unique Resin Beads Choker Necklaces Boho Statement Chunky Necklace Summer Vacation Jewelry</strong>. Type: Necklace. Material: Resin.</p>,Zhuozatrfa,necklace,"necklace, resin, zhuozatrfa, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,ZHUOZATR-COLORFULBE-NA-OS,30,shopify,100,deny,manual,344770,413724,TRUE,TRUE,https://m.media-amazon.com/images/I/71QVwOqP7lL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,Colorful Beaded Necklace for Women Unique Resin Beads Choker Necklaces Boho Statement Chunky Necklace Summer Vacation Jewelry,FALSE,Colorful Beaded Necklace for Women Unique Resin Beads Choker Necklaces Boho Statement Chunky Necklace Summer Vacation Jewelry | Zhuozatrfa,Shop Colorful Beaded Necklace for Women Unique Resin Beads Choker Necklaces Boho Statement Chunky Necklace Summer Vacation Jewelry by Zhuozatrfa. Necklace in Resin.,active,Zhuozatrfa,Colorful Beaded Necklace for Women Unique Resin Beads Choker Necklaces Boho Statement Chunky Necklace Summer Vacation Jewelry,https://m.media-amazon.com/images/I/71QVwOqP7lL._AC_SY300_SX300_QL70_FMwebp_.jpg,344770,necklace,resin
initial-necklaces-for-women-trendy-dainty-silver-letter-necklace-cute-pendant-choker-name-necklace-personalized-costume-monogram-silver-jewelry-necklace-for-women-valentines-gifts,"Initial Necklaces for Women Trendy, Dainty Silver Letter Necklace Cute Pendant Choker Name Necklace Personalized Costume Monogram Silver Jewelry Necklace for Women Valentines Gifts","<p><strong>Tituthia Initial Necklaces for Women Trendy, Dainty Silver Letter Necklace Cute Pendant Choker Name Necklace Personalized Costume Monogram Silver Jewelry Necklace for Women Valentines Gifts</strong>. Type: Pendant. Material: Silver.</p>",Tituthia,pendant,"pendant, silver, tituthia, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,TITUTHIA-INITIALNEC-NA-OS,30,shopify,100,deny,manual,229770,275724,TRUE,TRUE,https://m.media-amazon.com/images/I/5197gOtx6PL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"Initial Necklaces for Women Trendy, Dainty Silver Letter Necklace Cute Pendant Choker Name Necklace Personalized Costume Monogram Silver Jewelry Necklace for Women Valentines Gifts",FALSE,"Initial Necklaces for Women Trendy, Dainty Silver Letter Necklace Cute Pendant Choker Name Necklace Personalized Costume Monogram Silver Jewelry Necklace for Women Valentines Gifts | Tituthia","Shop Initial Necklaces for Women Trendy, Dainty Silver Letter Necklace Cute Pendant Choker Name Necklace Personalized Costume Monogram Silver Jewelry Necklace for Women Valentines Gifts by Tituthia. Pendant in Silver.",active,Tituthia,"Initial Necklaces for Women Trendy, Dainty Silver Letter Necklace Cute Pendant Choker Name Necklace Personalized Costume Monogram Silver Jewelry Necklace for Women Valentines Gifts",https://m.media-amazon.com/images/I/5197gOtx6PL._AC_SY300_SX300_QL70_FMwebp_.jpg,229770,pendant,silver
swarovski-birthstone-stud-earring-collection-square-cut-stone-and-crystals-rhodium-finish,"Swarovski Birthstone Stud Earring Collection, Square-Cut Stone and Crystals, Rhodium Finish","<p><strong>nan Swarovski Birthstone Stud Earring Collection, Square-Cut Stone and Crystals, Rhodium Finish</strong>. Type: Ring. Material: Crystal.</p>",,ring,"ring, crystal, nan, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,NAN-SWAROVSKIB-NA-OS,30,shopify,100,deny,manual,1492240,1790688,TRUE,TRUE,https://m.media-amazon.com/images/I/61-EEhLFIeL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"Swarovski Birthstone Stud Earring Collection, Square-Cut Stone and Crystals, Rhodium Finish",FALSE,,"Shop Swarovski Birthstone Stud Earring Collection, Square-Cut Stone and Crystals, Rhodium Finish by nan. Ring in Crystal.",active,,"Swarovski Birthstone Stud Earring Collection, Square-Cut Stone and Crystals, Rhodium Finish",https://m.media-amazon.com/images/I/61-EEhLFIeL._AC_SY300_SX300_QL70_FMwebp_.jpg,1492240,ring,crystal
boho-necklace-for-womenvintage-butterfly-pendant-necklacesadjustable-wooden-beads-layered-braided-chokerfashion-tribal-style-leather-rope-necklace-jewelrychunky-statement-gift-for-women,"Boho Necklace for Women,Vintage Butterfly Pendant Necklaces,Adjustable Wooden Beads Layered Braided Choker,Fashion Tribal Style Leather Rope Necklace Jewelry,Chunky Statement Gift for Women","<p><strong>Czmzhfc Boho Necklace for Women,Vintage Butterfly Pendant Necklaces,Adjustable Wooden Beads Layered Braided Choker,Fashion Tribal Style Leather Rope Necklace Jewelry,Chunky Statement Gift for Women</strong>. Type: Pendant. Material: Leather.</p>",Czmzhfc,pendant,"pendant, leather, czmzhfc, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,CZMZHFC-BOHONECKLA-NA-OS,30,shopify,100,deny,manual,183770,220524,TRUE,TRUE,https://m.media-amazon.com/images/I/719Pc3NAV1L._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"Boho Necklace for Women,Vintage Butterfly Pendant Necklaces,Adjustable Wooden Beads Layered Braided Choker,Fashion Tribal Style Leather Rope Necklace Jewelry,Chunky Statement Gift for Women",FALSE,"Boho Necklace for Women,Vintage Butterfly Pendant Necklaces,Adjustable Wooden Beads Layered Braided Choker,Fashion Tribal Style Leather Rope Necklace Jewelry,Chunky Statement Gift for Women | Czmzhfc","Shop Boho Necklace for Women,Vintage Butterfly Pendant Necklaces,Adjustable Wooden Beads Layered Braided Choker,Fashion Tribal Style Leather Rope Necklace Jewelry,Chunky Statement Gift for Women by Czmzhfc. Pendant in Leather.",active,Czmzhfc,"Boho Necklace for Women,Vintage Butterfly Pendant Necklaces,Adjustable Wooden Beads Layered Braided Choker,Fashion Tribal Style Leather Rope Necklace Jewelry,Chunky Statement Gift for Women",https://m.media-amazon.com/images/I/719Pc3NAV1L._AC_SY300_SX300_QL70_FMwebp_.jpg,183770,pendant,leather
yalice-925-sterling-silver-sparkly-necklace-layered-dainty-chain-necklace-silver-cross-pendant-paperclip-necklaces-waterproof-minimalist-jewelry-gifts,Yalice 925 Sterling Silver Sparkly Necklace Layered Dainty Chain Necklace Silver Cross Pendant Paperclip Necklaces Waterproof Minimalist Jewelry Gifts,<p><strong>Yalice Yalice 925 Sterling Silver Sparkly Necklace Layered Dainty Chain Necklace Silver Cross Pendant Paperclip Necklaces Waterproof Minimalist Jewelry Gifts</strong>. Type: Pendant. Material: Sterling Silver.</p>,Yalice,pendant,"pendant, sterling_silver, yalice, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,YALICE-YALICE925S-NA-OS,30,shopify,100,deny,manual,275770,330924,TRUE,TRUE,https://m.media-amazon.com/images/I/51G86UDYbXL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,Yalice 925 Sterling Silver Sparkly Necklace Layered Dainty Chain Necklace Silver Cross Pendant Paperclip Necklaces Waterproof Minimalist Jewelry Gifts,FALSE,Yalice 925 Sterling Silver Sparkly Necklace Layered Dainty Chain Necklace Silver Cross Pendant Paperclip Necklaces Waterproof Minimalist Jewelry Gifts | Yalice,Shop Yalice 925 Sterling Silver Sparkly Necklace Layered Dainty Chain Necklace Silver Cross Pendant Paperclip Necklaces Waterproof Minimalist Jewelry Gifts by Yalice. Pendant in Sterling Silver.,active,Yalice,Yalice 925 Sterling Silver Sparkly Necklace Layered Dainty Chain Necklace Silver Cross Pendant Paperclip Necklaces Waterproof Minimalist Jewelry Gifts,https://m.media-amazon.com/images/I/51G86UDYbXL._AC_SY300_SX300_QL70_FMwebp_.jpg,275770,pendant,sterling_silver
15mm-2mm-rope-chain-925-sterling-silver-chain-necklace-for-women-14k-gold-plated-chains-for-women-sturdy-durable-womens-chains-necklace-16-18-20-22-24-26-inch,"1.5mm 2mm Rope Chain 925 Sterling Silver Chain Necklace for Women, 14K Gold Plated Chains for Women Sturdy & Durable Women's Chains Necklace 16 18 20 22 24 26 Inch","<p><strong>Girluky 1.5mm 2mm Rope Chain 925 Sterling Silver Chain Necklace for Women, 14K Gold Plated Chains for Women Sturdy & Durable Women's Chains Necklace 16 18 20 22 24 26 Inch</strong>. Type: Necklace. Material: Gold 14K.</p>",Girluky,necklace,"necklace, gold_14k, girluky, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,GIRLUKY-1.5MM2MMRO-NA-OS,30,shopify,100,deny,manual,459770,551724,TRUE,TRUE,https://m.media-amazon.com/images/I/51OgCy3h-7L._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"1.5mm 2mm Rope Chain 925 Sterling Silver Chain Necklace for Women, 14K Gold Plated Chains for Women Sturdy & Durable Women's Chains Necklace 16 18 20 22 24 26 Inch",FALSE,"1.5mm 2mm Rope Chain 925 Sterling Silver Chain Necklace for Women, 14K Gold Plated Chains for Women Sturdy & Durable Women's Chains Necklace 16 18 20 22 24 26 Inch | Girluky","Shop 1.5mm 2mm Rope Chain 925 Sterling Silver Chain Necklace for Women, 14K Gold Plated Chains for Women Sturdy & Durable Women's Chains Necklace 16 18 20 22 24 26 Inch by Girluky. Necklace in Gold 14K.",active,Girluky,"1.5mm 2mm Rope Chain 925 Sterling Silver Chain Necklace for Women, 14K Gold Plated Chains for Women Sturdy & Durable Women's Chains Necklace 16 18 20 22 24 26 Inch",https://m.media-amazon.com/images/I/51OgCy3h-7L._AC_SY300_SX300_QL70_FMwebp_.jpg,459770,necklace,gold_14k
mjartoria-layered-initial-necklaces-for-women-trendy-14k-gold-plated-brass-simple-star-choker-square-letter-pendant-necklace-paperclip-chain-necklaces-jewelry-gifts,"MJartoria Layered Initial Necklaces for Women Trendy, 14K Gold Plated Brass Simple Star Choker Square Letter Pendant Necklace, Paperclip Chain Necklaces Jewelry Gifts","<p><strong>Mjartoria MJartoria Layered Initial Necklaces for Women Trendy, 14K Gold Plated Brass Simple Star Choker Square Letter Pendant Necklace, Paperclip Chain Necklaces Jewelry Gifts</strong>. Type: Pendant. Material: Gold 14K.</p>",Mjartoria,pendant,"pendant, gold_14k, mjartoria, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,MJARTORI-MJARTORIAL-NA-OS,30,shopify,100,deny,manual,390770,468924,TRUE,TRUE,https://m.media-amazon.com/images/I/714C1m81klL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"MJartoria Layered Initial Necklaces for Women Trendy, 14K Gold Plated Brass Simple Star Choker Square Letter Pendant Necklace, Paperclip Chain Necklaces Jewelry Gifts",FALSE,"MJartoria Layered Initial Necklaces for Women Trendy, 14K Gold Plated Brass Simple Star Choker Square Letter Pendant Necklace, Paperclip Chain Necklaces Jewelry Gifts | Mjartoria","Shop MJartoria Layered Initial Necklaces for Women Trendy, 14K Gold Plated Brass Simple Star Choker Square Letter Pendant Necklace, Paperclip Chain Necklaces Jewelry Gifts by Mjartoria. Pendant in Gold 14K.",active,Mjartoria,"MJartoria Layered Initial Necklaces for Women Trendy, 14K Gold Plated Brass Simple Star Choker Square Letter Pendant Necklace, Paperclip Chain Necklaces Jewelry Gifts",https://m.media-amazon.com/images/I/714C1m81klL._AC_SY300_SX300_QL70_FMwebp_.jpg,390770,pendant,gold_14k
pavoi-14k-gold-plated-twisted-singapore-chain-layering-choker-with-round-solitaire-and-serpentine-chain-layering-choker-with-pear-cut-stone-pendant-necklace-pack-for-women-cubic-zirconia-statement-layered-necklace-set,PAVOI 14K Gold Plated Twisted Singapore Chain Layering Choker with Round Solitaire and Serpentine Chain Layering Choker with Pear-Cut Stone Pendant Necklace Pack for Women | Cubic Zirconia Statement Layered Necklace Set,<p><strong>Pavoi PAVOI 14K Gold Plated Twisted Singapore Chain Layering Choker with Round Solitaire and Serpentine Chain Layering Choker with Pear-Cut Stone Pendant Necklace Pack for Women | Cubic Zirconia Statement Layered Necklace Set</strong>. Type: Ring. Material: Gold 14K.</p>,Pavoi,ring,"ring, gold_14k, pavoi, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,PAVOI-PAVOI14KGO-NA-OS,30,shopify,100,deny,manual,401350,481620,TRUE,TRUE,https://m.media-amazon.com/images/I/612iIYgL08L._AC_SY300_SX300_QL70_FMwebp_.jpg,1,PAVOI 14K Gold Plated Twisted Singapore Chain Layering Choker with Round Solitaire and Serpentine Chain Layering Choker with Pear-Cut Stone Pendant Necklace Pack for Women | Cubic Zirconia Statement Layered Necklace Set,FALSE,PAVOI 14K Gold Plated Twisted Singapore Chain Layering Choker with Round Solitaire and Serpentine Chain Layering Choker with Pear-Cut Stone Pendant Necklace Pack for Women | Cubic Zirconia Statement Layered Necklace Set | Pavoi,Shop PAVOI 14K Gold Plated Twisted Singapore Chain Layering Choker with Round Solitaire and Serpentine Chain Layering Choker with Pear-Cut Stone Pendant Necklace Pack for Women | Cubic Zirconia Statement Layered Necklace Set by Pavoi. Ring in Gold 14K.,active,Pavoi,PAVOI 14K Gold Plated Twisted Singapore Chain Layering Choker with Round Solitaire and Serpentine Chain Layering Choker with Pear-Cut Stone Pendant Necklace Pack for Women | Cubic Zirconia Statement Layered Necklace Set,https://m.media-amazon.com/images/I/612iIYgL08L._AC_SY300_SX300_QL70_FMwebp_.jpg,401350,ring,gold_14k
pernnla-pearl-long-disc-pendant-necklace-for-women-18k-gold-plated-sweater-chain-fashion-jewelry,PERNNLA PEARL Long Disc Pendant Necklace for Women 18K Gold Plated Sweater Chain Fashion Jewelry,<p><strong>Pernnla Pearl PERNNLA PEARL Long Disc Pendant Necklace for Women 18K Gold Plated Sweater Chain Fashion Jewelry</strong>. Type: Pendant. Material: Gold 18K.</p>,Pernnla Pearl,pendant,"pendant, gold_18k, pernnla pearl, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,PERNNLAP-PERNNLAPEA-NA-OS,30,shopify,100,deny,manual,298770,358524,TRUE,TRUE,https://m.media-amazon.com/images/I/712OKNb1xSL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,PERNNLA PEARL Long Disc Pendant Necklace for Women 18K Gold Plated Sweater Chain Fashion Jewelry,FALSE,PERNNLA PEARL Long Disc Pendant Necklace for Women 18K Gold Plated Sweater Chain Fashion Jewelry | Pernnla Pearl,Shop PERNNLA PEARL Long Disc Pendant Necklace for Women 18K Gold Plated Sweater Chain Fashion Jewelry by Pernnla Pearl. Pendant in Gold 18K.,active,Pernnla Pearl,PERNNLA PEARL Long Disc Pendant Necklace for Women 18K Gold Plated Sweater Chain Fashion Jewelry,https://m.media-amazon.com/images/I/712OKNb1xSL._AC_SY300_SX300_QL70_FMwebp_.jpg,298770,pendant,gold_18k
zeffy-gold-pearl-necklace-for-women-dainty-14k-goldsilve-plated-layered-pearl-choker-pearl-earrings-pearl-bracelets-wedding-trendy-gold-jewelry-set-for-women-gifts,"Zeffy Gold Pearl Necklace for Women, Dainty 14K Gold/Silve Plated Layered Pearl Choker Pearl Earrings Pearl Bracelets Wedding Trendy Gold Jewelry Set for Women Gifts","<p><strong>Zeffy Zeffy Gold Pearl Necklace for Women, Dainty 14K Gold/Silve Plated Layered Pearl Choker Pearl Earrings Pearl Bracelets Wedding Trendy Gold Jewelry Set for Women Gifts</strong>. Type: Ring. Material: Gold 14K.</p>",Zeffy,ring,"ring, gold_14k, zeffy, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,ZEFFY-ZEFFYGOLDP-NA-OS,30,shopify,100,deny,manual,268410,322092,TRUE,TRUE,https://m.media-amazon.com/images/I/51BhECLYJ6L._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"Zeffy Gold Pearl Necklace for Women, Dainty 14K Gold/Silve Plated Layered Pearl Choker Pearl Earrings Pearl Bracelets Wedding Trendy Gold Jewelry Set for Women Gifts",FALSE,"Zeffy Gold Pearl Necklace for Women, Dainty 14K Gold/Silve Plated Layered Pearl Choker Pearl Earrings Pearl Bracelets Wedding Trendy Gold Jewelry Set for Women Gifts | Zeffy","Shop Zeffy Gold Pearl Necklace for Women, Dainty 14K Gold/Silve Plated Layered Pearl Choker Pearl Earrings Pearl Bracelets Wedding Trendy Gold Jewelry Set for Women Gifts by Zeffy. Ring in Gold 14K.",active,Zeffy,"Zeffy Gold Pearl Necklace for Women, Dainty 14K Gold/Silve Plated Layered Pearl Choker Pearl Earrings Pearl Bracelets Wedding Trendy Gold Jewelry Set for Women Gifts",https://m.media-amazon.com/images/I/51BhECLYJ6L._AC_SY300_SX300_QL70_FMwebp_.jpg,268410,ring,gold_14k
jewlpire-silver18k-gold-plated-herringbone-necklace-for-women-3mm-4mm-5mm-necklace-for-women-flat-snake-chain-necklaces-fashion-womens-chain-necklaces-16-18-20-22-24-inch,"Jewlpire Silver/18K Gold Plated Herringbone Necklace for Women, 3mm 4mm 5mm Necklace for Women, Flat Snake Chain Necklaces, Fashion Women's Chain Necklaces 16 18 20 22 24 Inch","<p><strong>Jewlpire Jewlpire Silver/18K Gold Plated Herringbone Necklace for Women, 3mm 4mm 5mm Necklace for Women, Flat Snake Chain Necklaces, Fashion Women's Chain Necklaces 16 18 20 22 24 Inch</strong>. Type: Ring. Material: Gold 18K.</p>",Jewlpire,ring,"ring, gold_18k, jewlpire, jewelry, fine jewelry",TRUE,Metal Color,Default,Size / Length,One Size,JEWLPIRE-JEWLPIRESI-NA-OS,30,shopify,100,deny,manual,294170,353004,TRUE,TRUE,https://m.media-amazon.com/images/I/51TRtfHUXwL._AC_SY300_SX300_QL70_FMwebp_.jpg,1,"Jewlpire Silver/18K Gold Plated Herringbone Necklace for Women, 3mm 4mm 5mm Necklace for Women, Flat Snake Chain Necklaces, Fashion Women's Chain Necklaces 16 18 20 22 24 Inch",FALSE,"Jewlpire Silver/18K Gold Plated Herringbone Necklace for Women, 3mm 4mm 5mm Necklace for Women, Flat Snake Chain Necklaces, Fashion Women's Chain Necklaces 16 18 20 22 24 Inch | Jewlpire","Shop Jewlpire Silver/18K Gold Plated Herringbone Necklace for Women, 3mm 4mm 5mm Necklace for Women, Flat Snake Chain Necklaces, Fashion Women's Chain Necklaces 16 18 20 22 24 Inch by Jewlpire. Ring in Gold 18K.",active,Jewlpire,"Jewlpire Silver/18K Gold Plated Herringbone Necklace for Women, 3mm 4mm 5mm Necklace for Women, Flat Snake Chain Necklaces, Fashion Women's Chain Necklaces 16 18 20 22 24 Inch",https://m.media-amazon.com/images/I/51TRtfHUXwL._AC_SY300_SX300_QL70_FMwebp_.jpg,294170,ring,gold_18k
